InventoryID,Description,MSRP, Price Ref. ,Pre-order Date,Release Date,Tentative Release Date,Manufacturer,QtyFL,Fuente Catalogo
WOCC3040,MTG: Commander Box 2017 Display,,$95.00,,,,,,Compras Coqui
WOCC3040,MTG: Commander Box 2017 Display,,$83.00,,,,,,Compras Coqui
WOCC3040,MTG: Commander Box 2017 Display,,$76.50,,,,,,Compras Coqui
WOCC3489,MTG: Dominaria Booster Box,,$82.32,,,,,,Compras Coqui
WOCC6073,MTG: Modern Horizons Booster Box,,$155.00,,,,,,Compras Coqui
WOCC6136,MTG: Throne of Eldraine Booster Box,,$76.32,,,,,,Compras Coqui
WOCC6136SP,MTG: Spanish Throne of Eldraine Booster Box,,$74.52,,,,,,Compras Coqui
WOCC6275,MTG: Challenger Deck- Challenger Deck Display 2019,,$132.50,,,,,,Compras Coqui
WOCC6499,MTG: Commander 2019 Set of 4,,$95.00,,,,,,Compras Coqui
WOCC6499SP,MTG: Spanish Commander 2019 Set of 4,,$90.00,,,,,,Compras Coqui
